arm_id,representation,width_hz,association,state,metrics,failure
grid_sigma10__wunlimited__connected,grid_sigma10,,connected,NOT_RUN,null,null
grid_sigma10__wunlimited__paths_margin0,grid_sigma10,,paths_margin0,NOT_RUN,null,null
grid_sigma10__wunlimited__paths_margin0.25,grid_sigma10,,paths_margin0.25,NOT_RUN,null,null
grid_sigma10__wunlimited__paths_margin1,grid_sigma10,,paths_margin1,NOT_RUN,null,null
grid_sigma20__w200__connected,grid_sigma20,200,connected,NOT_RUN,null,null
grid_sigma20__w200__paths_margin0,grid_sigma20,200,paths_margin0,NOT_RUN,null,null
grid_sigma20__w200__paths_margin0.25,grid_sigma20,200,paths_margin0.25,NOT_RUN,null,null
grid_sigma20__w200__paths_margin1,grid_sigma20,200,paths_margin1,NOT_RUN,null,null
grid_sigma20__w225__connected,grid_sigma20,225,connected,NOT_RUN,null,null
grid_sigma20__w225__paths_margin0,grid_sigma20,225,paths_margin0,NOT_RUN,null,null
grid_sigma20__w225__paths_margin0.25,grid_sigma20,225,paths_margin0.25,NOT_RUN,null,null
grid_sigma20__w225__paths_margin1,grid_sigma20,225,paths_margin1,NOT_RUN,null,null
grid_sigma20__w250__connected,grid_sigma20,250,connected,NOT_RUN,null,null
grid_sigma20__w250__paths_margin0,grid_sigma20,250,paths_margin0,NOT_RUN,null,null
grid_sigma20__w250__paths_margin0.25,grid_sigma20,250,paths_margin0.25,NOT_RUN,null,null
grid_sigma20__w250__paths_margin1,grid_sigma20,250,paths_margin1,NOT_RUN,null,null
grid_sigma20__w275__connected,grid_sigma20,275,connected,NOT_RUN,null,null
grid_sigma20__w275__paths_margin0,grid_sigma20,275,paths_margin0,NOT_RUN,null,null
grid_sigma20__w275__paths_margin0.25,grid_sigma20,275,paths_margin0.25,NOT_RUN,null,null
grid_sigma20__w275__paths_margin1,grid_sigma20,275,paths_margin1,NOT_RUN,null,null
grid_sigma20__w300__connected,grid_sigma20,300,connected,NOT_RUN,null,null
grid_sigma20__w300__paths_margin0,grid_sigma20,300,paths_margin0,NOT_RUN,null,null
grid_sigma20__w300__paths_margin0.25,grid_sigma20,300,paths_margin0.25,NOT_RUN,null,null
grid_sigma20__w300__paths_margin1,grid_sigma20,300,paths_margin1,NOT_RUN,null,null
grid_sigma20__w325__connected,grid_sigma20,325,connected,NOT_RUN,null,null
grid_sigma20__w325__paths_margin0,grid_sigma20,325,paths_margin0,NOT_RUN,null,null
grid_sigma20__w325__paths_margin0.25,grid_sigma20,325,paths_margin0.25,NOT_RUN,null,null
grid_sigma20__w325__paths_margin1,grid_sigma20,325,paths_margin1,NOT_RUN,null,null
grid_sigma20__w350__connected,grid_sigma20,350,connected,NOT_RUN,null,null
grid_sigma20__w350__paths_margin0,grid_sigma20,350,paths_margin0,NOT_RUN,null,null
grid_sigma20__w350__paths_margin0.25,grid_sigma20,350,paths_margin0.25,NOT_RUN,null,null
grid_sigma20__w350__paths_margin1,grid_sigma20,350,paths_margin1,NOT_RUN,null,null
grid_sigma20__wunlimited__connected,grid_sigma20,,connected,NOT_RUN,null,null
grid_sigma20__wunlimited__paths_margin0,grid_sigma20,,paths_margin0,NOT_RUN,null,null
grid_sigma20__wunlimited__paths_margin0.25,grid_sigma20,,paths_margin0.25,NOT_RUN,null,null
grid_sigma20__wunlimited__paths_margin1,grid_sigma20,,paths_margin1,NOT_RUN,null,null
